influencer_id,influenceur,responsable_influence,contrat_paliers_texte_libre,ca_mois_courant_ht,ca_12_mois_glissant_ht,statut_tva,contact_channel,date_debut_contrat,contract_version,date_signature_contrat
INF001,@lea.fitfuel,Sophie,"1 500 € HT fixe. À partir de 8 000 € : +4 % du CA total. À partir de 9 000 € : +6 %. À partir de 10 000 € : +8 %. À partir de 11 000 € : +9 %. Au-delà de 12 000 € : +10 %.",7950,84200,non_assujetti,dm_instagram,2023-03-15,1,2023-03-15
INF002,@marco_stronglife,Camille,"1 500 € HT fixe. À partir de 8 000 € : +4 % du CA total. À partir de 9 000 € : +6 %. À partir de 10 000 € : +8 %. À partir de 11 000 € : +9 %. Au-delà de 12 000 € : +10 %.",8000,91000,assujetti_20,dm_instagram,2023-05-01,2,2025-01-10
INF003,@juliette.wellness,Camille,"1 500 € HT fixe. À partir de 8 000 € : +4 % du CA total. À partir de 9 000 € : +6 %. À partir de 10 000 € : +8 %. À partir de 11 000 € : +9 %. Au-delà de 12 000 € : +10 %.",10450,118000,non_assujetti,dm_tiktok,2023-09-01,1,2023-09-01
INF004,@thekevinlift,Sophie,"1 500 € HT fixe. À partir de 8 000 € : +4 % du CA total. À partir de 9 000 € : +6 %. À partir de 10 000 € : +8 %. À partir de 11 000 € : +9 %. Au-delà de 12 000 € : +10 %.",12300,141000,non_assujetti,dm_instagram,2022-11-01,2,2024-06-15
INF005,@sarah.runs,Nadir,"1 500 € HT fixe. À partir de 8 000 € : +4 % du CA total. À partir de 9 000 € : +6 %. À partir de 10 000 € : +8 %. À partir de 11 000 € : +9 %. Au-delà de 12 000 € : +10 %.",5100,61000,non_assujetti,dm_instagram,2024-02-01,1,2024-02-01
INF006,@big.tom.gains,Camille,4 600 € HT fixe + 4 % du CA.,6200,71000,assujetti_20,dm_instagram,2022-08-01,1,2022-08-01
INF007,@amel_nutrition,Camille,4 600 € HT fixe + 4 % du CA.,15800,178000,non_assujetti,email,2023-01-15,2,2025-03-01
INF008,@paulperformance,Camille,4 600 € HT fixe + 4 % du CA.,0,4600,non_assujetti,dm_instagram,2024-07-01,1,2024-07-01
INF009,@chloe.macros,Sophie,"2 000 € HT fixe + variable : si CA > 12 000 € : +4 % du CA total du mois ; si CA > 14 000 € : +5 % ; si CA > 16 000 € : +6 %.",11900,132000,non_assujetti,dm_tiktok,2023-06-01,1,2023-06-01
INF010,@yanis.calisthenics,Camille,"2 000 € HT fixe + variable : si CA > 12 000 € : +4 % du CA total du mois ; si CA > 14 000 € : +5 % ; si CA > 16 000 € : +6 %.",12000,139000,non_assujetti,dm_instagram,2024-01-01,1,2024-01-01
INF011,@manon.plantbased,Sophie,"2 000 € HT fixe + variable : si CA > 12 000 € : +4 % du CA total du mois ; si CA > 14 000 € : +5 % ; si CA > 16 000 € : +6 %.",14500,161000,assujetti_20,dm_instagram,2023-04-01,1,2023-04-01
INF012,@driss_boxing,Sophie,"2 000 € HT fixe + variable : si CA > 12 000 € : +4 % du CA total du mois ; si CA > 14 000 € : +5 % ; si CA > 16 000 € : +6 %.",16700,189000,non_assujetti,dm_tiktok,2022-12-01,2,2024-09-01
INF013,@ines.yoga.flow,Sophie,"1000 : 6 + 100 / 1500 : 6 + 150 / 2000 : 8 + 200 / 3000 : 8 + 250 / 4000 : 8 + 300 / 5000 : 8 + 350",950,11200,non_assujetti,dm_instagram,2024-09-01,1,2024-09-01
INF014,@theo.trailrunner,Camille,"1000 : 6 + 100 / 1500 : 6 + 150 / 2000 : 8 + 200 / 3000 : 8 + 250 / 4000 : 8 + 300 / 5000 : 8 + 350",1000,12500,non_assujetti,dm_tiktok,2024-03-01,1,2024-03-01
INF015,@nadia.crossfit,Sophie,"1000 : 6 + 100 / 1500 : 6 + 150 / 2000 : 8 + 200 / 3000 : 8 + 250 / 4000 : 8 + 300 / 5000 : 8 + 350",2600,30100,non_assujetti,dm_instagram,2023-11-01,1,2023-11-01
INF016,@lucas.powerlift,Nadir,"1000 : 6 + 100 / 1500 : 6 + 150 / 2000 : 8 + 200 / 3000 : 8 + 250 / 4000 : 8 + 300 / 5000 : 8 + 350",5300,58000,assujetti_20,email,2023-07-01,1,2023-07-01
INF017,@emma.hyrox,Camille,"1000 : 6 + 100 / 1500 : 6 + 150 / 2000 : 8 + 200 / 3000 : 8 + 250 / 4000 : 8 + 300 / 5000 : 8 + 350",4000,46000,non_assujetti,dm_instagram,2024-05-01,1,2024-05-01
INF018,@sofiane_mma,Camille,"100 € fixe puis 500 : 6 % + 65 / 1000 : 125 + 6 / 1500 : 200 + 6 / 2000 : 275 + 6 / 3000 : 350 + 8 / 4000 : 425 + 8 / 5000 : 500 + 8",480,6100,non_assujetti,dm_tiktok,2024-11-01,1,2024-11-01
INF019,@camille.marathon,Camille,"100 € fixe puis 500 : 6 % + 65 / 1000 : 125 + 6 / 1500 : 200 + 6 / 2000 : 275 + 6 / 3000 : 350 + 8 / 4000 : 425 + 8 / 5000 : 500 + 8",500,6400,non_assujetti,dm_instagram,2024-08-01,1,2024-08-01
INF020,@raph.gym,Camille,"100 € fixe puis 500 : 6 % + 65 / 1000 : 125 + 6 / 1500 : 200 + 6 / 2000 : 275 + 6 / 3000 : 350 + 8 / 4000 : 425 + 8 / 5000 : 500 + 8",1750,21000,non_assujetti,whatsapp,2024-06-01,1,2024-06-01
INF021,@laura.pilates,Camille,"100 € fixe puis 500 : 6 % + 65 / 1000 : 125 + 6 / 1500 : 200 + 6 / 2000 : 275 + 6 / 3000 : 350 + 8 / 4000 : 425 + 8 / 5000 : 500 + 8",3000,35000,assujetti_20,dm_instagram,2023-10-01,2,2025-06-01
INF022,@mehdi.streetworkout,Sophie,"100 € fixe puis 500 : 6 % + 65 / 1000 : 125 + 6 / 1500 : 200 + 6 / 2000 : 275 + 6 / 3000 : 350 + 8 / 4000 : 425 + 8 / 5000 : 500 + 8",5200,60000,non_assujetti,dm_tiktok,2024-01-15,1,2024-01-15
INF023,@elisa.nutrition,Sophie,"1 500 € HT fixe. À partir de 8 000 € : +4 % du CA total. À partir de 9 000 € : +6 %. À partir de 10 000 € : +8 %. À partir de 11 000 € : +9 %. Au-delà de 12 000 € : +10 %.",9600,104000,non_assujetti,dm_instagram,2023-08-01,1,2023-08-01
INF024,@gaby.triathlon,Camille,"2 000 € HT fixe + variable : si CA > 12 000 € : +4 % du CA total du mois ; si CA > 14 000 € : +5 % ; si CA > 16 000 € : +6 %.",13200,148000,non_assujetti,dm_tiktok,2023-12-01,1,2023-12-01
INF025,@antoine.rugby,Sophie,4 600 € HT fixe + 4 % du CA.,22000,240000,assujetti_20,email,2022-06-01,1,2022-06-01
